Table Name : match_events;;;;;
home_prev_avg_xg_conceded;double;;;;mominullptr
away_prev_avg_xg_scored;double;;;;mominullptr
away_prev_avg_xg_conceded;double;;;;mominullptr
home_score;int;;;;mominullptr
away_score;int;;;;mominullptr
result_type;string;;;;mominullptr
home_xg;double;;;;mominullptr
away_xg;double;;;;mominullptr
match_result;string;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : match_team_stats;;;;;
Column;Type;_is_key;Type_key;comments;source
match_id;int;yes ;FK;reference matches;mominullptr
team_id;int;yes ;FK;reference teams;mominullptr
possession_pct;int;;;;mominullptr
total_shots;int;;;;mominullptr
shots_on_target;int;;;;mominullptr
corners;int;;;;mominullptr
fouls;int;;;;mominullptr
offsides;int;;;;mominullptr
saves;int;;;;mominullptr
player_of_the_match;string;;;;mominullptr
data_source;string;;;;mominullptr
last_updated;date;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : matches;;;;;
Column;Type;_is_key;Type_key;comments;source
match_id;int;yes ;FK;reference matches;mominullptr
date;date;yes ;FK;reference teams;mominullptr
kickoff_time_utc;timestamp;;;;mominullptr
stage_id;int;yes ;FK;reference tournament_stages;mominullptr
venue_id;int;yes ;FK;reference venues;mominullptr
home_team_id;int;yes ;FK;reference teams;mominullptr
away_team_id;int;yes;FK;reference teams;mominullptr
home_score;int;;;;mominullptr
away_score;int;;;;mominullptr
home_penalty_score;int;;;;mominullptr
away_penalty_score;int;;;;mominullptr
status;string;;;;mominullptr
result_type;string;;;;mominullptr
home_xg;double;;;;mominullptr
away_xg;double;;;;mominullptr
referee_id;int;yes ;FK;reference referees;mominullptr
player_of_the_match_id;int;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : matches_detailed;;;;;
Column;Type;_is_key;Type_key;comments;source
match_id;int;yes ;PK;;mominullptr
date;date;;;;mominullptr
kickoff_time_utc;timestamp;;;;mominullptr
stage_name;string;;;;mominullptr
stadium_name;string;;;;mominullptr
city;string;;;;mominullptr
country;string;;;;mominullptr
home_team_name;string;;;;mominullptr
home_fifa_code;string;;;;mominullptr
away_team_name;string;;;;mominullptr
away_fifa_code;string;;;;mominullptr
home_score;int;;;;mominullptr
away_score;int;;;;mominullptr
home_penalty_score;int;;;;mominullptr
away_penalty_score;int;;;;mominullptr
status;string;;;;mominullptr
result_type;string;;;;mominullptr
home_xg;double;;;;mominullptr
away_xg;double;;;;mominullptr
home_goalkeeper;string;;;;mominullptr
away_goalkeeper;string;;;;mominullptr
player_of_the_match_name;string;;;;mominullptr
referee_name;string;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : player_stats;;;;;
Column;Type;_is_key;Type_key;comments;source
player_id;int;yes ;PK;;mominullptr
player_name;string;;;;mominullptr
team_id;int;yes ;FK;reference teams;mominullptr
position;string;;;;mominullptr
matches_played;int;;;;mominullptr
matches_started;int;;;;mominullptr
minutes_played;int;;;;mominullptr
goals;int;;;;mominullptr
assists;int;;;;mominullptr
shots;string;;;;mominullptr
shots_on_target;string;;;;mominullptr
yellow_cards;int;;;;mominullptr
red_cards;int;;;;mominullptr
penalty_goals;int;;;;mominullptr
own_goals;int;;;;mominullptr
clean_sheets;int;;;;mominullptr
saves;int;;;;mominullptr
goals_conceded;int;;;;mominullptr
average_rating;string;;;;mominullptr
data_source;string;;;;mominullptr
last_verified;date;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : referees;;;;;
Column;Type;_is_key;Type_key;comments;source
referee_id;int;yes ;PK;;mominullptr
name;string;;;;mominullptr
country;string;;;;mominullptr
avg_cards_per_game;double;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : squads_and_players;;;;;
Column;Type;_is_key;Type_key;comments;source
player_id;int;yes ;FK;reference player_stats;mominullptr
team_id;int;yes;FK;reference teams;mominullptr
player_name;string;;;;mominullptr
position;string;;;;mominullptr
club_team;string;;;;mominullptr
market_value_eur;int;;;;mominullptr
caps;int;;;;mominullptr
date_of_birth;date;;;;mominullptr
height_cm;int;;;;mominullptr
goals;int;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : teams;;;;;
Column;Type;_is_key;Type_key;comments;source
team_id;int;yes ;PK;;mominullptr
team_name;string;;;;mominullptr
fifa_code;string;;;;mominullptr
group_letter;string;;;;mominullptr
confederation;string;;;;mominullptr
fifa_ranking_pre_tournament;int;;;;mominullptr
elo_rating;int;;;;mominullptr
manager_name;string;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : referees;;;;;
Column;Type;_is_key;Type_key;comments;source
stage_id;int;yes ;PK;;mominullptr
stage_name;string;;;;mominullptr
is_knockout;boolean;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
;;;;;
;;;;;
Table Name : venues;;;;;
Column;Type;_is_key;Type_key;comments;source
venue_id;int;yes ;PK;;mominullptr
stadium_name;string;;;;mominullptr
city;string;;;;mominullptr
country;string;;;;mominullptr
capacity;int;;;;mominullptr
latitude;double;;;;mominullptr
longitude;double;;;;mominullptr
elevation_meters;int;;;;mominullptr
_rescued_data;string;;;technical column;dlt
_source_file;string;;;technical column;dlt
_ingested_at;timestamp;;;technical column;dlt
_file_size_MB;int;;;technical column;dlt
_source_repo;string;;;technical column;dlt
